epoch loss predictions_class_accuracy predictions_class_loss predictions_iou_accuracy predictions_iou_loss val_loss val_predictions_class_accuracy val_predictions_class_loss val_predictions_iou_accuracy val_predictions_iou_loss
0 0.5388804086589082 0.7855969 0.94333315 0.12547919 0.13442792 1.2752428638117563 0.8410904407501221 0.7114340662956238 0.14162233471870422 1.8390530347824097
1 0.40572515378939755 0.8268415 0.69735503 0.13600424 0.114096075 1.2538605725596514 0.8483092784881592 0.6704895496368408 0.14323708415031433 1.8372312784194946
2 0.3464171594174055 0.84643686 0.58351845 0.1370653 0.10931564 1.237804968011959 0.8512538075447083 0.6402482390403748 0.1445668637752533 1.835363507270813
3 0.30766631244209486 0.8607612 0.5095234 0.13896495 0.10580961 1.23603147248763 0.8530585169792175 0.6380215883255005 0.14532674849033356 1.834040641784668
4 0.2730457331487442 0.875154 0.4421013 0.14033407 0.10399021 1.2314532064467578 0.853628396987915 0.6295743584632874 0.14523176848888397 1.8333326578140259
5 0.24929961899187322 0.88478917 0.39665353 0.14098439 0.10194584 1.2242503455701343 0.8542932868003845 0.6160481572151184 0.14551672339439392 1.832451581954956
6 0.2266790616282171 0.8963924 0.35275245 0.14103574 0.100605376 1.2227016424556407 0.8541983366012573 0.6135859489440918 0.14523176848888397 1.831817865371704
7 0.20857651436829946 0.9053601 0.31848672 0.14175452 0.09866636 1.2258907353992383 0.8556231260299683 0.6206713318824768 0.14599163830280304 1.8311104774475098
8 0.19144947698537712 0.91544014 0.28559786 0.14274712 0.09730103 1.2260475256183045 0.8569529056549072 0.6216198205947876 0.14551672339439392 1.8304749727249146
9 0.18140427369587653 0.91915387 0.26677448 0.14387664 0.096034184 1.226890024389381 0.8557180762290955 0.6235010027885437 0.1461816132068634 1.8302785158157349
10 0.1695059266141315 0.92575985 0.24391243 0.14373973 0.095099464 1.2311301573822246 0.8575227856636047 0.6326773762702942 0.14608663320541382 1.8295820951461792
11 0.16015269014135672 0.9296447 0.22585678 0.14397933 0.09444878 1.2294287488577849 0.8570478558540344 0.6297762393951416 0.14608663320541382 1.8290811777114868
12 0.15172473818210624 0.93578863 0.21028423 0.14502327 0.0931654 1.2301197968972535 0.8578077554702759 0.6315957307815552 0.146276593208313 1.8286426067352295
13 0.14419036051554265 0.94016975 0.19588009 0.1448008 0.09250075 1.2326849881916286 0.857997715473175 0.6373844146728516 0.146276593208313 1.8279858827590942
14 0.13680680912000262 0.94485897 0.1820668 0.14492059 0.09154681 1.2327684521431663 0.8567629456520081 0.6379402279853821 0.14637157320976257 1.8275972604751587
15 0.1321655287502205 0.9474261 0.17341353 0.1456565 0.09091745 1.2384067449979144 0.8569529056549072 0.6496748328208923 0.14646656811237335 1.82713782787323
16 0.12755818368085667 0.9500616 0.1653068 0.1456736 0.08980957 1.237422389216087 0.8572378158569336 0.6481966972351074 0.14656154811382294 1.8266475200653076
17 0.12242390930464926 0.9520639 0.15591393 0.14599876 0.08893382 1.2393339256710716 0.8575227856636047 0.6522862315177917 0.14637157320976257 1.8263810873031616
18 0.11849002440042818 0.9553156 0.14878601 0.14632393 0.08819393 1.2473988050883664 0.858092725276947 0.6687976717948914 0.14665652811527252 1.8259998559951782
19 0.11387524301306572 0.9574035 0.14065577 0.14705983 0.08709467 1.246458427039312 0.8573328256607056 0.6672601103782654 0.1467515230178833 1.8256572484970093
20 0.11077643475247402 0.9598508 0.13497342 0.14680313 0.08657938 1.2472861317838444 0.8583776354789734 0.6692969799041748 0.1467515230178833 1.825274109840393
21 0.10812918303650676 0.9613568 0.1299013 0.14699137 0.08635712 1.254061722120208 0.8575227856636047 0.6831936836242676 0.14656154811382294 1.8249307870864868
22 0.10428511827820984 0.96373564 0.12293417 0.14705983 0.085636124 1.248854253480726 0.8571428656578064 0.6729869842529297 0.14646656811237335 1.8247218132019043
23 0.10220919893585301 0.9644544 0.11921905 0.14695714 0.08519938 1.2514469962394414 0.8573328256607056 0.6785678863525391 0.14646656811237335 1.8243261575698853
24 0.09936110018920827 0.96572083 0.11424821 0.14717963 0.08447402 1.25815368362626 0.857997715473175 0.6921041011810303 0.14646656811237335 1.8242027759552002
25 0.09672455160561358 0.9677916 0.10992242 0.14784707 0.08352676 1.2572916592457148 0.8574278354644775 0.690704345703125 0.1467515230178833 1.823879599571228
26 0.09423636152997597 0.9696913 0.10519042 0.14800109 0.08328233 1.2593806859057703 0.8571428656578064 0.695101261138916 0.14637157320976257 1.8236604928970337
27 0.09227989345119791 0.9709064 0.10134288 0.14806955 0.08321706 1.2627787193167377 0.8566679358482361 0.7020673155784607 0.14656154811382294 1.8234903812408447
28 0.09055431384281107 0.97126573 0.098589666 0.14815512 0.08251894 1.2630638486201844 0.8570478558540344 0.7028695344924927 0.14646656811237335 1.8232569694519043
29 0.0891468267697078 0.97155666 0.09644194 0.14808667 0.08185166 1.2629401448782884 0.8565729260444641 0.7028971314430237 0.146276593208313 1.822983741760254
30 0.08686929342856167 0.97393554 0.092178635 0.14856586 0.0815601 1.270158231739623 0.8579027652740479 0.7175166606903076 0.14656154811382294 1.8227996826171875
31 0.08553079675948339 0.97369593 0.08991847 0.14868565 0.08114304 1.2725083087620503 0.8574278354644775 0.7223830819129944 0.14694148302078247 1.822633147239685
32 0.08420757162879422 0.9752533 0.08774264 0.14865142 0.08067251 1.2685223807125015 0.8575227856636047 0.7145974636077881 0.14684650301933289 1.8224468231201172
33 0.08286140409225816 0.9762459 0.0856733 0.14906216 0.08004941 1.2725605433184008 0.8581876754760742 0.7229291200637817 0.14665652811527252 1.8221912384033203
34 0.08103639526427331 0.9776321 0.08231854 0.14916484 0.07975424 1.2736342008435098 0.8569529056549072 0.7253901362419128 0.14665652811527252 1.8218786716461182
35 0.08012275126031299 0.97631437 0.080923595 0.14940444 0.079321995 1.280132669709923 0.8579027652740479 0.7385480999946594 0.1467515230178833 1.821716547012329
36 0.07856171005298379 0.977769 0.078241035 0.14950712 0.07888224 1.2767622969162828 0.858092725276947 0.7320001125335693 0.14665652811527252 1.8215246200561523
37 0.07727209072884454 0.9787959 0.07618154 0.14952423 0.078362614 1.2820275091852054 0.8570478558540344 0.7426683902740479 0.14694148302078247 1.821386456489563
38 0.0763716587183746 0.9794462 0.074822344 0.14996919 0.07792092 1.2774920284876878 0.8575227856636047 0.7337067127227783 0.1467515230178833 1.8212777376174927
39 0.07532338872256099 0.9798912 0.07274082 0.14983228 0.07790603 1.279265363330565 0.8572378158569336 0.7373371124267578 0.14665652811527252 1.821192979812622
40 0.07463332176435972 0.978967 0.07207027 0.150089 0.07719641 1.280316799360336 0.8571428656578064 0.7396319508552551 0.1467515230178833 1.8210022449493408
41 0.07386798676825562 0.9809522 0.07033276 0.15012322 0.07740328 1.2822482960403396 0.8567629456520081 0.7435849905014038 0.14694148302078247 1.8209121227264404
42 0.07164736108411704 0.9813287 0.06650295 0.14991786 0.07679176 1.284983092528346 0.8569529056549072 0.7492212653160095 0.14703647792339325 1.8207443952560425
43 0.0714299905696335 0.9811405 0.0662846 0.15048261 0.07657538 1.284059913139677 0.8567629456520081 0.7474188208580017 0.14713145792484283 1.820700764656067
44 0.07171396446605045 0.98040456 0.06708144 0.15002054 0.07634644 1.284993300672994 0.8567629456520081 0.7493879795074463 0.14713145792484283 1.8205982446670532
45 0.07003335511517943 0.9820475 0.06409805 0.15056819 0.07596876 1.2868748986987415 0.8566679358482361 0.753244161605835 0.14665652811527252 1.820505976676941
46 0.06933251078070223 0.983331 0.06276123 0.15065375 0.07590382 1.2923071721163903 0.858092725276947 0.7642252445220947 0.1467515230178833 1.8203898668289185
47 0.06942538224948164 0.9820475 0.063231036 0.15024301 0.07561971 1.2890646397518306 0.8574278354644775 0.7578808069229126 0.14684650301933289 1.8202484846115112
48 0.06793048951151574 0.9832968 0.060785823 0.15087624 0.07507525 1.2950333301848407 0.8564779758453369 0.7699201107025146 0.14694148302078247 1.8201457262039185
49 0.06717256855868366 0.98418677 0.059390277 0.15043128 0.074954934 1.2927005850295268 0.8566679358482361 0.7653263807296753 0.14713145792484283 1.820075273513794
50 0.06731494438201026 0.98372465 0.060081337 0.15077356 0.07454847 1.2971906540299678 0.8574278354644775 0.7743723392486572 0.14713145792484283 1.8200082778930664
51 0.06597231179990919 0.984529 0.057577014 0.15115005 0.07436755 1.2947901297391797 0.8573328256607056 0.7696309089660645 0.14703647792339325 1.8199493885040283
52 0.06555063866700075 0.9844606 0.05672495 0.1512185 0.0743763 1.2974362926675136 0.8575227856636047 0.7749917507171631 0.14694148302078247 1.8198800086975098
53 0.06425753907685097 0.9854874 0.054462958 0.1512014 0.07405212 1.300497622187405 0.8572378158569336 0.7811931371688843 0.14722643792629242 1.819802165031433
54 0.0641435583291406 0.98567563 0.05453388 0.15099603 0.07375314 1.301702749212683 0.8574278354644775 0.783661425113678 0.14703647792339325 1.8197438716888428
55 0.06427442294169067 0.9852136 0.05478363 0.15087624 0.073765226 1.2976741475324884 0.8570478558540344 0.7757005095481873 0.14703647792339325 1.8196494579315186
56 0.06411079243121327 0.98504245 0.054747 0.15097892 0.07347462 1.3030044615246061 0.8576177954673767 0.7863665819168091 0.14713145792484283 1.8196425437927246
57 0.06266158952776583 0.9864629 0.051957354 0.15138964 0.07336584 1.3042554935301713 0.8576177954673767 0.7889940738677979 0.14713145792484283 1.8195163011550903
58 0.061958745263745396 0.9862404 0.05081769 0.15123563 0.073099785 1.3069742534339348 0.8567629456520081 0.7944562435150146 0.14722643792629242 1.819491982460022
59 0.062059129500580054 0.98627466 0.051094115 0.15130408 0.07302424 1.303430782490209 0.8571428656578064 0.7874264121055603 0.14694148302078247 1.8194355964660645
